rho,nu,s,gamma,no,nc,oo,oc,c,y,g,r,h
5,5,SSW,0.8643892819359451,0.32395950506186727,0.06749156355455568,0.2373453318335208,0.3712035995500562,0.06468044277318809,0.20672380443880417,0.747301250485386,0.013676308677810028,0.9846240090034549
5,15,WSW,0.9757697793642327,0.7931508561429821,0.028496437945256844,0.13373328333958256,0.04461942257217848,0.05134096024006002,0.5076315476490472,0.485499698734966,0.40118646782103895,0.9984509869862711
5,5,SSW,0.855109751313556,0.31758530183727035,0.06199225096862892,0.24384451943507063,0.3765779277590301,0.06575026434682303,0.20613200071700052,0.758463418499838,0.015197577820038034,0.9858411158067872
5,15,WSW,0.9761874506666001,0.7866516685414323,0.0359955005624297,0.1321084864391951,0.045244344456942885,0.048675806517228755,0.5042007370107366,0.4906274872748415,0.3615704133720348,0.9982394713072106
5,5,WSW,0.8425545655228976,0.2079740032495938,0.07011623547056618,0.1452318460192476,0.5766779152605924,0.09476300735494415,0.16069570439320427,0.7919362254789212,0.007661895706135522,0.9771707721767116
5,15,SSW,0.9796725978322323,0.825771778527684,0.009498812648418948,0.14760654918135233,0.01712285964254468,0.01937520233085141,0.5194319026919019,0.4689932837539526,0.4498799919927935,0.9986699700227942
5,5,WSW,0.8408979809602471,0.24971878515185603,0.08023997000374954,0.17122859642544683,0.4988126484189476,0.09472290401756879,0.19307603243603233,0.7630229925492485,0.010713241917725953,0.9833349829548707
5,15,WSW,0.9812317809179,0.7897762779652543,0.03849518810148731,0.1314835645544307,0.04024496937882765,0.04476162008668361,0.504683873828873,0.4909286531227108,0.4058571714543089,0.9981485668262469
5,15,SSW,0.9771225544809653,0.8223972003499562,0.01274840644919385,0.14448193975753032,0.020372453443319585,0.017052211608547207,0.5084612655062647,0.48338474255948183,0.38949784806325694,0.9979510386055563
5,5,WSW,0.8625257140626673,0.2595925509311336,0.0771153605799275,0.1719785026871641,0.49131358580177475,0.11000181521147213,0.20610095195345143,0.7539879145389584,0.01895245721149034,0.9831483965184535
5,5,WSW,0.8729761355423162,0.22297212848393952,0.06961629796275466,0.16372953380827396,0.5436820397450318,0.1118488502660743,0.1749581976356974,0.7780217961465855,0.006002902612351116,0.9774259461780401
5,5,SSW,0.8624495219428022,0.32858392700912387,0.05311836020497438,0.2702162229721285,0.3480814898137733,0.051039651245377286,0.2061024239424239,0.7413321988396465,0.014512861575417877,0.9854793774878251
5,5,SSW,0.8688190503136574,0.33720784901887263,0.05399325084364454,0.2660917385326834,0.3427071616047994,0.051353158194468514,0.21761359157359134,0.7400987568716939,0.009907316584926433,0.9861225548210186
5,15,SSW,0.9578815155475296,0.8255218097737783,0.010123734533183352,0.14998125234345708,0.014373203349581302,0.01862133570955286,0.5131264356364345,0.46314908704179186,0.40436162546291665,0.998639502326091
5,15,SSW,0.974638543791969,0.8243969503812023,0.011373578302712161,0.14410698662667168,0.020122484689413824,0.018580027558198563,0.5096273112698113,0.47423220570682334,0.4326248623761385,0.9985777284609054
5,15,WSW,0.9769986632844038,0.8000249968753905,0.03249593800774903,0.1302337207849019,0.0372453443319585,0.048761695917263655,0.5152469785019778,0.48553211678271346,0.42092613352016817,0.9983669340082267
5,15,WSW,0.9820541104702277,0.7982752155980503,0.031746031746031744,0.13260842394700662,0.03737032870891139,0.05471933745234652,0.5048304262854248,0.479473232043983,0.390967070363327,0.9985629865718352
20,7,WSW,0.4483317736054755,0.003124609423822022,0.0008748906386701663,0.04049493813273341,0.9555055618047744,0.14457831325301204,0.0024643821418821412,0.9329900744416881,0.00010009008107296567,0.714071911678179
20,7,WSW,0.4075376549289968,0.0073740782402199724,0.003499562554680665,0.06036745406824147,0.9287589051368579,0.13520502401182122,0.005105287182787183,0.9213675624549605,0.00010039035131618456,0.8125263895441686
20,7,SSW,0.49346231794291623,0.0111236095488064,0.0011248593925759281,0.20447444069491313,0.7832770903637045,0.06571936056838366,0.009260069450069446,0.9248456004096612,0.00011059953958562706,0.8226992826467117
20,7,SSW,0.5778418317363674,0.01674790651168604,0.001999750031246094,0.3098362704661917,0.6714160729908761,0.06885245901639345,0.011765896835896817,0.9257929474552199,0.000171954759283355,0.8890527683850141
20,7,SSW,0.3447198314564024,0.0008748906386701663,0.00012498437695288088,0.01274840644919385,0.9862517185351831,0.18072289156626506,0.0008930140130140113,0.9005153020667723,0.00010009008107296567,0.703790528053953
20,7,SSW,0.4408515099479601,0.008248968878890138,0.0004999375078115235,0.16122984626921635,0.830021247344082,0.06958762886597938,0.005628989531489529,0.9286631263616559,0.00010069062155940346,0.8012419665047049
20,7,WSW,0.34950024129588764,0.0022497187851518562,0.0014998125234345708,0.026121734783152106,0.9701287339082615,0.20647773279352227,0.0012936491886491861,0.9040693903688533,0.00010269242318086277,0.7676233459030707
20,7,SSW,0.5286463676537179,0.013123359580052493,0.0017497812773403325,0.14973128358955132,0.8353955755530559,0.08955223880597014,0.009998688908688904,0.9283066326005699,0.00010999899909918927,0.8103901080299508
20,7,WSW,0.3270161458730242,0.0032495938007749033,0.0016247969003874516,0.04086989126359205,0.9542557180352456,0.22983870967741934,0.002884354286854281,0.8894563410262161,0.0002601341207086378,0.8675958202706362
20,7,WSW,0.3218243933176032,0.001999750031246094,0.000999875015623047,0.069241344831896,0.9277590301212348,0.2,0.0015855689955689954,0.9109196016296974,0.00010009008107296567,0.7345693701663706
20,7,WSW,0.4385817089308607,0.007624046994125735,0.0029996250468691415,0.06874140732408449,0.9206349206349206,0.1266400456360525,0.0069033316683316595,0.9264762862211706,0.00010009008107296567,0.7179411221205858
20,7,SSW,0.5267372342935237,0.011873515810523684,0.0016247969003874516,0.17110361204849395,0.8153980752405949,0.07958852192744992,0.008713195655695649,0.9181813394767163,0.00021359223300970875,0.8547058773458271
20,7,SSW,0.46186546214091784,0.0111236095488064,0.000999875015623047,0.21334833145856769,0.7745281839770028,0.06925207756232687,0.008265868943368926,0.9177083640491459,0.00014483034731258132,0.8193312086528841
20,7,SSW,0.49966481771764426,0.014623172103487065,0.0016247969003874516,0.15923009623797024,0.8245219347581553,0.0783289817232376,0.012273586023586015,0.927283729117129,0.00010129116204584125,0.8080401722523434
20,7,WSW,0.4532931332067513,0.005124359455068116,0.002124734408198975,0.03949506311711036,0.9532558430196225,0.11735941320293398,0.0040525798450798565,0.9339555426506652,0.00010009008107296567,0.7296016617205375
20,7,WSW,0.37934223628924646,0.007874015748031496,0.003999500062492188,0.11811023622047244,0.8700162479690039,0.16400911161731208,0.005583024018024007,0.8779037057718665,0.00011640476428785907,0.9015626493612486
20,7,SSW,0.4192978613756793,0.0013748281464816899,0.0003749531308586427,0.8476440444944382,0.15060617422822148,0.13125,0.0005653986928986903,0.9130994897959187,0.00010009008107296567,0.737077078616794
20,7,WSW,0.2826358119836191,0.0028746406699162604,0.0011248593925759281,0.03274590676165479,0.963254593175853,0.149364406779661,0.002239241111741108,0.8683832448335246,0.00011900710639575619,0.8305326876589839
20,7,WSW,0.522109948242394,0.003999500062492188,0.0014998125234345708,0.3008373953255843,0.693663292088489,0.1422924901185771,0.0030618802368802293,0.9345552255533767,0.00010549494545090581,0.7552660000409857
20,7,SSW,0.45889149930923506,0.015748031496062992,0.0011248593925759281,0.3324584426946632,0.650668666416698,0.05916629314208875,0.011527603545103546,0.8944934543954638,0.00016374737263537183,0.8902809537656953
